country;country_code;year_week;age_group;new_cases;population;rate_14_day_per_100k;source
Austria;AT;2022-47;<15yr;2865;1285488;426.99737376;TESSy COVID-19
Austria;AT;2022-48;<15yr;2859;1285488;445.2783689929;TESSy COVID-19
Austria;AT;2022-49;<15yr;2106;1285488;386.234643964;TESSy COVID-19
Austria;AT;2022-50;<15yr;1669;1285488;293.6627957632;TESSy COVID-19
Austria;AT;2022-51;<15yr;1415;1285488;239.9088906314;TESSy COVID-19
Austria;AT;2022-52;<15yr;937;1285488;182.9655352675;TESSy COVID-19
Austria;AT;2023-01;<15yr;673;1285488;125.2442652129;TESSy COVID-19
Austria;AT;2023-02;<15yr;903;1285488;122.5993552643;TESSy COVID-19
Austria;AT;2023-03;<15yr;1483;1285488;185.6104452161;TESSy COVID-19
Austria;AT;2023-04;<15yr;3077;1285488;354.7290989881;TESSy COVID-19
Austria;AT;2023-05;<15yr;3434;1285488;506.500255156;TESSy COVID-19
Austria;AT;2023-06;<15yr;2165;1285488;435.5544353584;TESSy COVID-19
Austria;AT;2023-07;<15yr;1712;1285488;301.597525609;TESSy COVID-19
Austria;AT;2023-08;<15yr;2250;1285488;308.2098004804;TESSy COVID-19
Austria;AT;2023-09;<15yr;2466;1285488;366.864568164;TESSy COVID-19
Austria;AT;2020-01;15-24yr;0;941982;NA;TESSy COVID-19
Austria;AT;2020-02;15-24yr;0;941982;NA;TESSy COVID-19
Austria;AT;2020-03;15-24yr;0;941982;NA;TESSy COVID-19
Austria;AT;2020-04;15-24yr;0;941982;NA;TESSy COVID-19
Austria;AT;2020-05;15-24yr;0;941982;NA;TESSy COVID-19
Austria;AT;2020-06;15-24yr;0;941982;NA;TESSy COVID-19
Austria;AT;2020-07;15-24yr;0;941982;NA;TESSy COVID-19
Austria;AT;2020-08;15-24yr;0;941982;NA;TESSy COVID-19
Austria;AT;2020-09;15-24yr;4;941982;NA;TESSy COVID-19
Austria;AT;2020-10;15-24yr;14;941982;1.9108645388;TESSy COVID-19
Austria;AT;2020-11;15-24yr;103;941982;12.4206195023;TESSy COVID-19
Austria;AT;2020-12;15-24yr;286;941982;41.2959058666;TESSy COVID-19
Austria;AT;2020-13;15-24yr;436;941982;76.6468998346;TESSy COVID-19
Austria;AT;2020-14;15-24yr;309;941982;79.0885600786;TESSy COVID-19
Austria;AT;2020-15;15-24yr;178;941982;51.699501689;TESSy COVID-19
Austria;AT;2020-16;15-24yr;54;941982;24.6289207225;TESSy COVID-19
Austria;AT;2020-17;15-24yr;38;941982;9.7666409762;TESSy COVID-19
Austria;AT;2020-18;15-24yr;27;941982;6.9003441679;TESSy COVID-19
Austria;AT;2020-19;15-24yr;35;941982;6.5818667448;TESSy COVID-19
Austria;AT;2020-20;15-24yr;41;941982;8.0680947194;TESSy COVID-19
Austria;AT;2020-21;15-24yr;33;941982;7.8557764373;TESSy COVID-19
Austria;AT;2020-22;15-24yr;22;941982;5.8387527575;TESSy COVID-19
Austria;AT;2020-23;15-24yr;31;941982;5.6264344754;TESSy COVID-19
Austria;AT;2020-24;15-24yr;25;941982;5.9449118985;TESSy COVID-19
Austria;AT;2020-25;15-24yr;50;941982;7.9619355784;TESSy COVID-19
Austria;AT;2020-26;15-24yr;56;941982;11.2528689508;TESSy COVID-19
Austria;AT;2020-27;15-24yr;96;941982;16.1361894389;TESSy COVID-19
Austria;AT;2020-28;15-24yr;113;941982;22.1872604784;TESSy COVID-19
Austria;AT;2020-29;15-24yr;128;941982;25.5843529919;TESSy COVID-19
Austria;AT;2020-30;15-24yr;203;941982;35.1386756859;TESSy COVID-19
Austria;AT;2020-31;15-24yr;203;941982;43.1006112643;TESSy COVID-19
Austria;AT;2020-32;15-24yr;197;941982;42.4636564181;TESSy COVID-19
Austria;AT;2020-33;15-24yr;577;941982;82.167175169;TESSy COVID-19
Austria;AT;2020-34;15-24yr;663;941982;131.637334896;TESSy COVID-19
Austria;AT;2020-35;15-24yr;518;941982;125.3739455743;TESSy COVID-19
Austria;AT;2020-36;15-24yr;549;941982;113.2718034952;TESSy COVID-19
Austria;AT;2020-37;15-24yr;965;941982;160.7249395424;TESSy COVID-19
Austria;AT;2020-38;15-24yr;1313;941982;241.8305233009;TESSy COVID-19
Austria;AT;2020-39;15-24yr;924;941982;237.477998518;TESSy COVID-19
Austria;AT;2020-40;15-24yr;1076;941982;212.3182820903;TESSy COVID-19
Austria;AT;2020-41;15-24yr;1318;941982;254.1449836621;TESSy COVID-19
Austria;AT;2020-42;15-24yr;1652;941982;315.2926489041;TESSy COVID-19
Austria;AT;2020-43;15-24yr;2956;941982;489.1813219361;TESSy COVID-19
Austria;AT;2020-44;15-24yr;4930;941982;837.1709862821;TESSy COVID-19
Austria;AT;2020-45;15-24yr;6661;941982;1230.4906038544;TESSy COVID-19
Austria;AT;2020-46;15-24yr;6325;941982;1378.5826056124;TESSy COVID-19
Austria;AT;2020-47;15-24yr;4786;941982;1179.5342161528;TESSy COVID-19
Austria;AT;2020-48;15-24yr;3799;941982;911.3762258727;TESSy COVID-19
Austria;AT;2020-49;15-24yr;2609;941982;680.2677758174;TESSy COVID-19
Austria;AT;2020-50;15-24yr;2140;941982;504.1497608235;TESSy COVID-19
Austria;AT;2020-51;15-24yr;1678;941982;405.3156005104;TESSy COVID-19
Austria;AT;2020-52;15-24yr;1507;941982;338.1168642288;TESSy COVID-19
Austria;AT;2020-53;15-24yr;1853;941982;356.6947139117;TESSy COVID-19
Austria;AT;2021-01;15-24yr;1925;941982;401.0692348686;TESSy COVID-19
Austria;AT;2021-02;15-24yr;1476;941982;361.0472386946;TESSy COVID-19
Austria;AT;2021-03;15-24yr;1392;941982;304.4644165175;TESSy COVID-19
Austria;AT;2021-04;15-24yr;1185;941982;273.5721064734;TESSy COVID-19
Austria;AT;2021-05;15-24yr;1179;941982;250.9602094308;TESSy COVID-19
Austria;AT;2021-06;15-24yr;1329;941982;266.2471257413;TESSy COVID-19
Austria;AT;2021-07;15-24yr;1614;941982;312.4263520959;TESSy COVID-19
Austria;AT;2021-08;15-24yr;2004;941982;384.0837723014;TESSy COVID-19
Austria;AT;2021-09;15-24yr;2386;941982;466.0386291882;TESSy COVID-19
Austria;AT;2021-10;15-24yr;2806;941982;551.1782603065;TESSy COVID-19
Austria;AT;2021-11;15-24yr;3217;941982;639.396506515;TESSy COVID-19
Austria;AT;2021-12;15-24yr;3419;941982;704.4720599757;TESSy COVID-19
Austria;AT;2021-13;15-24yr;3162;941982;698.6333072182;TESSy COVID-19
Austria;AT;2021-14;15-24yr;2723;941982;624.7465450508;TESSy COVID-19
Austria;AT;2021-15;15-24yr;2621;941982;567.3144497453;TESSy COVID-19
Austria;AT;2021-16;15-24yr;2311;941982;523.5768836347;TESSy COVID-19
Austria;AT;2021-17;15-24yr;1961;941982;453.5118505449;TESSy COVID-19
Austria;AT;2021-18;15-24yr;1389;941982;355.6331225013;TESSy COVID-19
Austria;AT;2021-19;15-24yr;908;941982;243.8475469807;TESSy COVID-19
Austria;AT;2021-20;15-24yr;729;941982;173.7825138909;TESSy COVID-19
Austria;AT;2021-21;15-24yr;616;941982;142.7840447057;TESSy COVID-19
Austria;AT;2021-22;15-24yr;561;941982;124.9493090102;TESSy COVID-19
Austria;AT;2021-23;15-24yr;386;941982;100.5327065698;TESSy COVID-19
Austria;AT;2021-24;15-24yr;241;941982;66.5617814353;TESSy COVID-19
Austria;AT;2021-25;15-24yr;167;941982;43.3129295464;TESSy COVID-19
Austria;AT;2021-26;15-24yr;202;941982;39.1727230457;TESSy COVID-19
Austria;AT;2021-27;15-24yr;449;941982;69.1096008204;TESSy COVID-19
Austria;AT;2021-28;15-24yr;958;941982;149.3659114505;TESSy COVID-19
Austria;AT;2021-29;15-24yr;944;941982;201.9146862679;TESSy COVID-19
Austria;AT;2021-30;15-24yr;1244;941982;232.2762006068;TESSy COVID-19
Austria;AT;2021-31;15-24yr;1189;941982;258.2851901629;TESSy COVID-19
Austria;AT;2021-32;15-24yr;1680;941982;304.5705756586;TESSy COVID-19
Austria;AT;2021-33;15-24yr;2094;941982;400.6445983044;TESSy COVID-19
Austria;AT;2021-34;15-24yr;2115;941982;446.8238246591;TESSy COVID-19
Austria;AT;2021-35;15-24yr;2317;941982;470.4973131121;TESSy COVID-19
Austria;AT;2021-36;15-24yr;2846;941982;548.0996452162;TESSy COVID-19
Austria;AT;2021-37;15-24yr;2329;941982;549.3735549087;TESSy COVID-19
