age;Time;val
00-10;Year 2021 Week 12;537
10-20;Year 2021 Week 12;644
20-30;Year 2021 Week 12;812
30-40;Year 2021 Week 12;733
40-50;Year 2021 Week 12;635
50-60;Year 2021 Week 12;458
60-70;Year 2021 Week 12;189
70-80;Year 2021 Week 12;106
80-;Year 2021 Week 12;72
All ages;Year 2021 Week 12;4186
00-10;Year 2021 Week 13;433
10-20;Year 2021 Week 13;556
20-30;Year 2021 Week 13;595
30-40;Year 2021 Week 13;592
40-50;Year 2021 Week 13;472
50-60;Year 2021 Week 13;339
60-70;Year 2021 Week 13;160
70-80;Year 2021 Week 13;85
80-;Year 2021 Week 13;40
All ages;Year 2021 Week 13;3272
00-10;Year 2021 Week 14;357
10-20;Year 2021 Week 14;424
20-30;Year 2021 Week 14;417
30-40;Year 2021 Week 14;456
40-50;Year 2021 Week 14;369
50-60;Year 2021 Week 14;303
60-70;Year 2021 Week 14;133
70-80;Year 2021 Week 14;55
80-;Year 2021 Week 14;38
All ages;Year 2021 Week 14;2552
00-10;Year 2021 Week 15;240
10-20;Year 2021 Week 15;313
20-30;Year 2021 Week 15;353
30-40;Year 2021 Week 15;357
40-50;Year 2021 Week 15;297
50-60;Year 2021 Week 15;201
60-70;Year 2021 Week 15;101
70-80;Year 2021 Week 15;44
80-;Year 2021 Week 15;31
All ages;Year 2021 Week 15;1937
00-10;Year 2021 Week 16;208
10-20;Year 2021 Week 16;243
20-30;Year 2021 Week 16;312
30-40;Year 2021 Week 16;280
40-50;Year 2021 Week 16;252
50-60;Year 2021 Week 16;174
60-70;Year 2021 Week 16;79
70-80;Year 2021 Week 16;37
80-;Year 2021 Week 16;25
All ages;Year 2021 Week 16;1610
00-10;Year 2021 Week 17;186
10-20;Year 2021 Week 17;222
20-30;Year 2021 Week 17;232
30-40;Year 2021 Week 17;248
40-50;Year 2021 Week 17;229
50-60;Year 2021 Week 17;137
60-70;Year 2021 Week 17;78
70-80;Year 2021 Week 17;31
80-;Year 2021 Week 17;26
All ages;Year 2021 Week 17;1389
00-10;Year 2021 Week 18;176
10-20;Year 2021 Week 18;241
20-30;Year 2021 Week 18;255
30-40;Year 2021 Week 18;298
40-50;Year 2021 Week 18;234
50-60;Year 2021 Week 18;168
60-70;Year 2021 Week 18;80
